name,model,version,year,km,city,province,price
Kia,Rio,1.4L TM,2017,74502 km,Guayaquil | ,Guayas,u$s15.500
Land Rover,Freelander,"1.8l Tl2 L4,1.8i,16v S 2 2",2000,181000 km,Quito | ,Pichincha,u$s10.800
Skoda,Fabia,Confoer,2006,114000 km,Guayaquil | ,Guayas,u$s8.500
Suzuki,Super-carry,"Van Pasajeros L3,1.0 S 1 1",2009,240800 km,Santo Domingo De Los Tsáchilas | ,Santo Domingo de los Tsáchilas,u$s12.500
Toyota,Corolla,L 1.8,2008,30755 km,Loja | ,Loja,u$s4.000
Toyota,Hilux,2.4L 4x4 CD Diesel,2019,4000 km,Pastaza | ,Pastaza,u$s12.500
Honda,CR-V,2.4L LX AT,2002,257000 km,Quito | ,Pichincha,u$s10.000
Chery,Q,1.0L Full,2017,85500 km,Portoviejo | ,Manabí,u$s7.000
Great Wall,H3,2.0L,2011,199999 km,Latacunga | ,Cotopaxi,u$s11.790
Great Wall,H5,2.4 Elite,2015,107000 km,Manta | ,Manabí,u$s14.000
Chevrolet,Captiva Sport,2.4L Aut,2015,61000 km,Quito | ,Pichincha,u$s19.000
Chevrolet,Sail Hatchback,1.4L Ac,2015,134000 km,Daule | ,Guayas,u$s9.000
Chevrolet,Optra,GT hatchback,2006,230 km,Guayaquil | ,Guayas,u$s9.200
Chevrolet,Spark GT,1.2L LT,2020,22300 km,Quito | ,Pichincha,u$s12.800
Ford,Edge,3.5L SE Aut,2017,56000 km,Quito | ,Pichincha,u$s37.999
Hyundai,Elantra,1.6 Ac,2011,75000 km,Ambato | ,Tungurahua,u$s12.700
Nissan,X-Trail,2.5L Advance 4x2 Aut,2014,92300 km,Quito | ,Pichincha,u$s20.800
Kia,Sportage R,2.0L  AT,2018,43000 km,Quito | ,Pichincha,u$s22.500
Kia,Rio,xcite,2008,240000 km,Guayaquil | ,Guayas,u$s8.500
Kia,Sportage,2.0L AT,2012,147300 km,Quito | ,Pichincha,u$s14.500
Mazda,BT-50,2.5L Tdi DC Outdoors 4x4,2009,314000 km,Santo Domingo De Los Tsáchilas | ,Santo Domingo de los Tsáchilas,u$s13.500
Mazda,BT-50,2.5L 4x2,2016,65000 km,Guayaquil | ,Guayas,u$s17.000
Skoda,Fabia Combi,1.6L Combi,2011,144600 km,Guayaquil | ,Guayas,u$s10.500
Toyota,Yaris,1.5L Aut,2001,113000 km,Santo Domingo De Los Tsáchilas | ,Santo Domingo de los Tsáchilas,u$s1.500
Toyota,Land Cruiser Prado,4.6L,2013,110000 km,Guayaquil | ,Guayas,u$s25.000
